Date,Well,Pot Gross,Pot Nett,Pot WC,Test,Date of Test,Production Zone,Status/Lifting,P.csg,P.tbg,P.fl,P.sep,Avg Prod Prev Month Gross,Avg Prod Prev Month Oil,Prev Day Gross,Prev Day Oil,Production Test Gross,Production Test Oil,Prod Act Gross,Prod Act Oil,Prod Act WC,Selisih Potensi,Selisih Last,Gas Inj (Mscfd),Gas Out SB (Mscfd),Gas Out SA (Mscfd),Gas Own (Mscfd),Tanggal Mulai Produksi,Keterangan,GS,CATEGORY,Bulan Ke,Date&Well,Struktur
2026-01-01,B-222,0.0,0.0,0.0,,2025-10-14 00:00:00,M-70,Tutup,0,0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.0,PES-17.01.24,"Shut in, WC 100%",I,,1,46023B-222,Bunyu
2026-01-01,B-223,43.0,27.0,37.2093023255814,,2025-12-30 00:00:00,R-10,SB OF,272,64,64,30,58.606944444444444,27.481944444444444,38.25,22.25,26.694906,16.0169436,38.25,22.25,41.830065359477125,-4.75,0.0,293,603.0,,310.0,PES-27.01.25,,I,,1,46023B-223,Bunyu
2026-01-01,B-224,355.00000000000006,11.000000000000002,96.90140845070422,T,2026-01-01 00:00:00,O-95,SB OF,332,60,60,32,170.67152777777775,4.127777777777777,0.0,0.0,384.4066464,18.6864342,208.0,10.291666666666666,95.05208333333334,-0.7083333333333357,10.291666666666666,157.625,157.625,,0.0,KUPL-09.02.24.,"Pkl 11.00 Buka sumur/gas injeksi, ex imbangi tekanan jaringan perbaikan K#3 SKG Bunyu",I,,1,46023B-224,Bunyu
2026-01-01,B-225,718.0,35.0,95.12534818941504,,2025-12-27 00:00:00,P-10,SB OF,345,128,128,34,751.9,33.8,771.0,42.0,771.4827834,42.177951480000004,771.0,42.0,94.55252918287937,7.0,0.0,432,586.0,,154.0,KUPL-04.06.24,,I,,1,46023B-225,Bunyu
2026-01-01,B-230,224.0,0.0,100.0,T,2026-01-01 00:00:00,AA-30/W-40/X-80/Z-30/AA-10,SB OF,316,78,78,28,158.11787134846114,0.8060690532081375,224.0,0.0,314.99989080000006,0.0,315.0,0.0,100.0,0.0,0.0,615,615.0,,0.0,KUPL-09.11.25,,I,,1,46023B-230,Bunyu
2026-01-01,B-232,286.0,11.0,96.15384615384616,T,2026-01-01 00:00:00,S-75,SB OF,312,75,75,28,314.72777777777776,17.138888888888893,59.58333333333335,2.291666666666667,469.8303456,14.415249240000001,470.0,14.0,97.02127659574468,3.0,11.708333333333332,288,546.0,,258.0,KUPL-19.04.25,"Prod. 24 jam, ex. Buka sumur",I,,1,46023B-232,Bunyu
2026-01-01,B-233,27.0,5.0,81.48148148148148,T,2026-01-01 00:00:00,R-10,SB OF,286,45,45,28,51.20277777777778,16.29722222222222,5.624999999999999,1.0416666666666667,16.0169436,7.47457368,16.0,7.0,56.25,2.0,5.958333333333333,398,494.0,,96.0,KUPL-13.05.24,"Prod. 24 jam, ex. Buka sumur",I,,1,46023B-233,Bunyu
2026-01-01,B-236,452.5,40.0,91.16022099447514,,2025-12-30 00:00:00,K-85 ,SB 38,340,128,90,35,406.1333333333333,37.63333333333333,430.0,49.0,429.7879866,49.3855761,430.0,49.0,88.60465116279069,9.0,0.0,578,578.0,,0.0,BOR-05.05.23,,I,,1,46023B-236,Bunyu
2026-01-01,B-237,306.0,50.0,83.66013071895425,,2025-12-27 00:00:00,R-10/W-40,SB OF,315,95,95,33,191.7,33.56666666666667,214.0,53.0,213.559248,53.389812,214.0,53.0,75.23364485981308,3.0,0.0,500,500.0,,0.0,KUPL-22.07.25,,I,,1,46023B-237,Bunyu
2026-01-01,B-242,264.0,0.0,100.0,,2025-12-20 00:00:00,V-30,SB OF,290,92,92,37,55.25833333333333,0,264.0,0.0,264.2795694,0.0,264.0,0.0,100.0,0.0,0.0,504,675.0,,171.0,PES-21.11.25,,I,,1,46023B-242,Bunyu
